Date,Location,MinTemp,MaxTemp,AvgTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Windspeed,Humidity9am,Humidity3pm,Humidity,Pressure9am,Pressure3pm,Pressure,Temp9am,Temp3pm
19/02/2015,Albury,18,33.1,25.55,6,N,35,ESE,N,7,20,13.5,79,36,57.5,1018.6,1015,1016.8,22.2,31.5
20/02/2015,Albury,19,33.3,26.15,0.2,S,30,SSE,SSW,7,11,9,67,29,48,1016.6,1013.4,1015,23.7,32.3
21/02/2015,Albury,18.4,34.6,26.5,0,NNE,31,ESE,SE,2,7,4.5,55,25,40,1015.4,1012,1013.7,23.2,32.8
22/02/2015,Albury,19,34.5,26.75,0,NE,33,SSE,SSE,7,13,10,61,32,46.5,1015.9,1013.1,1014.5,23.2,32.8
23/02/2015,Albury,18.4,35.9,27.15,0,W,50,SSE,NE,6,9,7.5,65,33,49,1014.6,1010,1012.3,23.8,33.8
24/02/2015,Albury,17.5,29.5,23.5,8,NW,39,SSE,S,9,11,10,74,49,61.5,1014.4,1013,1013.7,21.8,27.7
25/02/2015,Albury,17.6,30.3,23.95,0.2,SE,24,SSE,NNE,7,9,8,60,44,52,1014.3,1010.8,1012.55,21.6,28.9
26/02/2015,Albury,18,29.8,23.9,0,WNW,24,SSE,ESE,9,11,10,71,50,60.5,1009.4,1007.1,1008.25,20.1,27.3
27/02/2015,Albury,14.5,31.5,23,0,SW,28,SSE,WSW,9,20,14.5,76,28,52,1009.5,1007.4,1008.45,19.6,30.3
28/02/2015,Albury,18.1,35.1,26.6,0,NW,37,W,WNW,9,20,14.5,65,16,40.5,1008.4,1004.9,1006.65,20.7,34.3
1/03/2015,Albury,19.3,28.6,23.95,1.4,WNW,39,SE,W,19,26,22.5,94,29,61.5,1007.5,1008.8,1008.15,19.4,27
2/03/2015,Albury,12.1,28.6,20.35,0.2,SSE,43,SSE,S,15,11,13,54,27,40.5,1017.4,1013.4,1015.4,16.6,28.3
3/03/2015,Albury,16.5,32,24.25,0,WNW,30,SE,WSW,6,15,10.5,59,33,46,1014.5,1011.9,1013.2,19.8,30.2
4/03/2015,Albury,12.7,30.4,21.55,0,WNW,37,W,W,6,22,14,51,13,32,1014.2,1010.7,1012.45,17.6,29.3
5/03/2015,Albury,15.1,23.4,19.25,0,W,54,WSW,WSW,28,28,28,40,24,32,1012,1012.5,1012.25,15.7,22.3
6/03/2015,Albury,11.2,22.3,16.75,0,WNW,43,SE,WNW,15,7,11,55,49,52,1011.5,1010,1010.75,14.7,20
7/03/2015,Albury,10,25.2,17.6,0,W,30,ESE,NW,2,15,8.5,74,48,61,1012.6,1010.3,1011.45,15,22.3
8/03/2015,Albury,11.3,30.3,20.8,0,WNW,33,SE,W,0,19,9.5,70,27,48.5,1013,1009.5,1011.25,16.2,28.8
9/03/2015,Albury,10.9,29.5,20.2,0,W,37,SSE,W,0,15,7.5,64,25,44.5,1013.1,1011.4,1012.25,17.6,27.8
10/03/2015,Albury,12.6,30,21.3,0,NNW,33,ESE,WSW,6,17,11.5,65,19,42,1017,1014.6,1015.8,17.1,28.9
11/03/2015,Albury,9.3,31.7,20.5,0,W,39,SSE,WNW,7,19,13,58,19,38.5,1017.4,1013.3,1015.35,15,30.6
12/03/2015,Albury,11.8,28.9,20.35,0,W,39,SSE,W,0,24,12,58,18,38,1015.9,1013.4,1014.65,15.8,28.3
13/03/2015,Albury,14.5,27.6,21.05,0,SE,57,ENE,S,17,11,14,49,33,41,1019.6,1016.8,1018.2,16.9,26.3
14/03/2015,Albury,10.2,29,19.6,0,WNW,30,SW,SSW,7,11,9,68,36,52,1019.5,1013.3,1016.4,15.3,27.5
15/03/2015,Albury,12.7,28.3,20.5,0,SE,37,SSW,SSE,11,20,15.5,51,17,34,1011.3,1011.3,1011.3,19.8,26.5
16/03/2015,Albury,10,27.9,18.95,0,SE,26,WNW,NNE,9,9,9,61,28,44.5,1016.7,1012.7,1014.7,14.8,26.7
17/03/2015,Albury,14.5,29.6,22.05,0,ENE,33,SSE,N,4,19,11.5,63,27,45,1011.3,1007,1009.15,16.8,28
18/03/2015,Albury,16.6,28.3,22.45,2.8,W,41,SSE,W,9,22,15.5,78,40,59,1004.9,1004.6,1004.75,20.1,27.6
19/03/2015,Albury,12.7,33.6,23.15,0,N,37,SSE,N,2,15,8.5,78,28,53,1011.9,1007.9,1009.9,16.6,31.9
20/03/2015,Albury,16.6,26.8,21.7,0,WNW,43,NNW,W,24,22,23,57,31,44,1013.3,1014.2,1013.75,18.7,25.7
21/03/2015,Albury,13.2,27.3,20.25,0,SSE,28,ENE,SSE,13,11,12,52,31,41.5,1023.9,1021.8,1022.85,15.8,26.1
22/03/2015,Albury,10.8,30.7,20.75,0,NNW,50,NW,NNW,6,15,10.5,61,30,45.5,1022.7,1017.7,1020.2,16.4,29
23/03/2015,Albury,16.4,31.9,24.15,0,WSW,46,WNW,NW,9,20,14.5,61,35,48,1013.7,1008.6,1011.15,22,30
24/03/2015,Albury,14.5,25.1,19.8,0.4,WNW,37,S,WNW,11,24,17.5,75,33,54,1012.2,1010.8,1011.5,16.1,24
25/03/2015,Albury,7.9,24.6,16.25,0,N,52,NE,NNE,6,6,6,70,34,52,1017.3,1014.5,1015.9,13.1,24
26/03/2015,Albury,7.8,19.4,13.6,0,WNW,46,SE,W,13,22,17.5,58,33,45.5,1019.2,1019.2,1019.2,12.9,18.4
27/03/2015,Albury,10.3,20.9,15.6,0,SW,41,NE,WSW,19,19,19,72,40,56,1023,1021,1022,12.2,19.1
28/03/2015,Albury,5.5,23.9,14.7,0,SSE,20,SSE,NNW,6,7,6.5,76,26,51,1024.4,1021.7,1023.05,10.1,21.9
29/03/2015,Albury,5.8,25.8,15.8,0,W,24,SSE,WNW,0,9,4.5,63,27,45,1023.8,1021.3,1022.55,11.6,25.1
30/03/2015,Albury,8.6,28.2,18.4,0,WNW,26,E,WSW,7,11,9,70,26,48,1025.1,1022,1023.55,12.5,26.3
31/03/2015,Albury,9,29.4,19.2,0,SE,22,S,SW,2,11,6.5,65,23,44,1026.6,1022.3,1024.45,13.7,28.5
1/04/2015,Albury,10.4,29.1,19.75,0,N,33,W,NNE,0,17,8.5,61,35,48,1023.1,1017.7,1020.4,15.1,27.4
2/04/2015,Albury,15.1,26.4,20.75,0,WNW,37,S,WNW,6,26,16,57,23,40,1016.7,1016.7,1016.7,21.3,24.2
3/04/2015,Albury,8.7,26.8,17.75,0,SSE,26,SSE,ENE,13,11,12,53,26,39.5,1022.4,1019.3,1020.85,12.7,24.3
4/04/2015,Albury,11.5,23.8,17.65,0,E,30,SE,NNE,6,11,8.5,57,51,54,1019.8,1016.3,1018.05,16.3,22.6
5/04/2015,Albury,15.5,24.3,19.9,0.6,WSW,28,E,W,0,11,5.5,85,42,63.5,1012.7,1007.5,1010.1,17.9,23.7
6/04/2015,Albury,10.8,21.1,15.95,0,S,26,SE,SE,6,9,7.5,68,44,56,1007.3,1005,1006.15,15.6,19.7
7/04/2015,Albury,11.8,19.9,15.85,8.8,SW,37,E,W,6,19,12.5,83,60,71.5,1008.3,1006.8,1007.55,14.2,18
8/04/2015,Albury,10.9,22.3,16.6,4,SSE,37,ENE,E,15,9,12,63,30,46.5,1017.2,1018.3,1017.75,14.6,21.8
9/04/2015,Albury,7.3,22.1,14.7,0,ESE,31,E,SE,7,15,11,53,36,44.5,1024,1021.1,1022.55,14.6,21.2
10/04/2015,Albury,7.6,24.2,15.9,0,S,24,ENE,SW,9,9,9,59,34,46.5,1025.8,1022.1,1023.95,15.2,22.8
11/04/2015,Albury,8.2,23.7,15.95,0,W,19,NNE,WSW,4,4,4,66,42,54,1023.7,1018.8,1021.25,16,22.2
12/04/2015,Albury,11.8,26.5,19.15,0,W,31,W,NW,2,17,9.5,67,31,49,1020.1,1017.1,1018.6,16.3,25.7
13/04/2015,Albury,8.3,25.5,16.9,0,SSW,20,S,W,11,9,10,64,35,49.5,1022.7,1018.8,1020.75,15.4,24.7
14/04/2015,Albury,10.3,21.8,16.05,0,SSE,24,SSE,SSE,6,19,12.5,77,53,65,1022.3,1019.6,1020.95,14.1,21
15/04/2015,Albury,12.7,24.2,18.45,3,ENE,39,W,SE,9,13,11,85,62,73.5,1022.1,1019.3,1020.7,16.1,22.5
16/04/2015,Albury,10.7,26.6,18.65,1.4,NW,30,N,NW,6,20,13,86,41,63.5,1023,1020.6,1021.8,16.3,25.9
17/04/2015,Albury,15.1,17.7,16.4,0.2,ENE,19,N,SE,9,6,7.5,82,98,90,1023.8,1019.1,1021.45,15.8,15.4
18/04/2015,Albury,15.2,19.9,17.55,35.8,WNW,35,S,WNW,9,13,11,94,98,96,1015.9,1012.3,1014.1,17.5,17.2
19/04/2015,Albury,9.9,17.4,13.65,15.8,SSE,35,NE,ESE,20,17,18.5,71,49,60,1021.1,1023.1,1022.1,12.6,15.8
20/04/2015,Albury,6.9,18.2,12.55,0.2,SSE,54,ESE,SE,19,28,23.5,45,40,42.5,1031,1028.4,1029.7,13.1,16.8
21/04/2015,Albury,10.4,19.4,14.9,0,SE,48,SSE,S,30,30,30,51,40,45.5,1028.1,1024.7,1026.4,15.3,18.5
22/04/2015,Albury,5.9,23.1,14.5,0,SSE,44,N,SSE,9,22,15.5,63,44,53.5,1020.8,1017.2,1019,15.8,21.4
23/04/2015,Albury,12.7,24,18.35,0.2,SE,30,NNE,S,6,9,7.5,83,53,68,1014.6,1009.9,1012.25,15.2,23.1
24/04/2015,Albury,15.2,20,17.6,3.6,N,26,SSE,NW,7,17,12,94,56,75,1007.2,1005.3,1006.25,16,19.4
25/04/2015,Albury,10,16,13,7,SSE,26,W,SE,7,15,11,97,71,84,1008.1,1006.8,1007.45,12.8,15.7
26/04/2015,Albury,7.1,19.7,13.4,2.6,W,37,WNW,WNW,4,24,14,100,48,74,1014.1,1013.7,1013.9,9.2,18.9
27/04/2015,Albury,5.8,17.8,11.8,0.2,WSW,28,NNW,NNW,9,7,8,78,47,62.5,1022.1,1020.7,1021.4,11.2,16.4
28/04/2015,Albury,3.6,18.5,11.05,0,SSE,22,NW,NE,0,6,3,77,38,57.5,1027.3,1025.1,1026.2,11.1,17.8
29/04/2015,Albury,4.4,19.6,12,0,SE,33,NW,ESE,9,6,7.5,70,35,52.5,1031,1027.8,1029.4,11.5,18.9
30/04/2015,Albury,4.7,20.9,12.8,0,SE,22,WNW,SE,0,13,6.5,74,42,58,1031.2,1027.2,1029.2,11.4,20
1/05/2015,Albury,6.4,22.5,14.45,0,ESE,19,NW,SSE,0,9,4.5,71,38,54.5,1028.6,1024.1,1026.35,13.5,22
2/05/2015,Albury,7.7,20.7,14.2,0,S,11,W,SSE,0,7,3.5,84,60,72,1022.5,1017.6,1020.05,11.7,20.1
3/05/2015,Albury,7.5,23.7,15.6,0,W,22,W,W,2,13,7.5,85,37,61,1019.1,1015.6,1017.35,13.5,23.2
4/05/2015,Albury,5,22.3,13.65,0,WNW,17,SE,N,2,11,6.5,80,37,58.5,1017.5,1013.3,1015.4,12.4,21.2
5/05/2015,Albury,5.5,20.5,13,0,NW,65,ESE,WNW,6,35,20.5,86,36,61,1005.9,1005.2,1005.55,11.9,17.6
6/05/2015,Albury,2.7,15.5,9.1,0,WNW,41,NE,WNW,13,19,16,73,55,64,1017.9,1017,1017.45,9.1,14.3
7/05/2015,Albury,6.7,14.7,10.7,0.2,W,35,N,WNW,19,19,19,84,58,71,1021.1,1019.3,1020.2,9.7,13.2
8/05/2015,Albury,6.1,13.8,9.95,0,W,28,ENE,NW,9,11,10,74,62,68,1022.6,1020,1021.3,10.1,13
9/05/2015,Albury,9.9,15.4,12.65,0.8,NW,39,S,WNW,15,24,19.5,91,71,81,1018.6,1015.9,1017.25,11.8,14.2
10/05/2015,Albury,10.4,14.3,12.35,2.8,WNW,72,WSW,WNW,19,30,24.5,87,83,85,1009.6,1005.4,1007.5,10.6,12.6
11/05/2015,Albury,9.9,18,13.95,9.2,W,50,E,W,26,28,27,97,52,74.5,1011.9,1013.2,1012.55,12.4,16.4
12/05/2015,Albury,11.2,17.2,14.2,0.8,W,44,SSE,NNW,20,24,22,91,64,77.5,1015.4,1012.1,1013.75,12.2,15.8
13/05/2015,Albury,4.5,13.5,9,0.6,W,43,NE,WSW,19,31,25,79,48,63.5,1020.8,1022.4,1021.6,6.1,11.8
14/05/2015,Albury,2.6,15.8,9.2,0,W,26,W,W,13,17,15,84,55,69.5,1029.9,1028.7,1029.3,7.6,15
15/05/2015,Albury,2.3,17.8,10.05,0,SSE,15,E,SSE,2,6,4,100,53,76.5,1034.4,1031.9,1033.15,6,17
16/05/2015,Albury,3.2,18.9,11.05,0,E,44,ENE,E,0,2,1,86,53,69.5,1037.4,1033.5,1035.45,8.8,18
17/05/2015,Albury,2.4,18,10.2,0.2,E,20,SSE,SE,7,6,6.5,99,54,76.5,1036.6,1032.2,1034.4,8.6,17.4
18/05/2015,Albury,2.3,19.2,10.75,0,NE,13,SSW,ESE,0,4,2,99,47,73,1031.8,1025.8,1028.8,6.6,18.5
19/05/2015,Albury,6.7,17.4,12.05,3.4,W,57,ESE,SSW,2,13,7.5,95,95,95,1017.6,1011.8,1014.7,10.4,13.1
20/05/2015,Albury,10.3,17.6,13.95,12.8,WNW,26,WNW,NW,11,17,14,89,69,79,1014.4,1014.5,1014.45,14.9,16.9
21/05/2015,Albury,6.1,15,10.55,0,W,17,ESE,W,4,9,6.5,85,65,75,1020.9,1019.7,1020.3,11.5,14.8
22/05/2015,Albury,8,16.9,12.45,0,SE,35,S,SE,13,13,13,61,48,54.5,1025.4,1025.1,1025.25,12.5,16.5
23/05/2015,Albury,1.4,16.6,9,0,NNW,13,S,NW,4,4,4,82,49,65.5,1031.8,1029.4,1030.6,6.1,16.5
24/05/2015,Albury,-0.2,13.9,6.85,0,SE,13,S,ESE,0,9,4.5,99,65,82,1033.3,1030.6,1031.95,3.5,13.3
25/05/2015,Albury,2.6,15.2,8.9,0,ESE,15,ENE,SE,0,7,3.5,96,58,77,1033.1,1029.9,1031.5,6.9,14.2
26/05/2015,Albury,2,13.8,7.9,0,ESE,13,NE,ESE,0,2,1,77,68,72.5,1030.9,1026.9,1028.9,6.9,13.2
27/05/2015,Albury,5.7,14.7,10.2,0.2,ENE,20,WSW,ENE,0,17,8.5,100,74,87,1025.2,1022.3,1023.75,8.8,14
28/05/2015,Albury,7.4,18.7,13.05,3.2,NNE,33,N,NNE,15,20,17.5,96,70,83,1022.7,1018.1,1020.4,11.7,18.5
29/05/2015,Albury,9.1,15.8,12.45,11.2,WNW,30,SSE,WSW,0,13,6.5,100,64,82,1022.6,1021.8,1022.2,11,14
30/05/2015,Albury,5,15.4,10.2,0,WNW,31,ESE,NW,2,19,10.5,95,52,73.5,1024,1020.2,1022.1,8.8,13.7
31/05/2015,Albury,8.4,14.5,11.45,0,NW,33,ENE,NW,6,17,11.5,80,64,72,1018.4,1013.9,1016.15,9.6,13.8
1/06/2015,Albury,3.8,11.5,7.65,2.4,W,44,N,W,19,22,20.5,75,52,63.5,1021.5,1022.4,1021.95,6,10.8
2/06/2015,Albury,-1.4,12.5,5.55,0,SSW,15,SE,NNE,4,2,3,83,48,65.5,1028.3,1025.3,1026.8,3.2,11.9
3/06/2015,Albury,-1.2,12.6,5.7,0,E,17,SE,ESE,0,6,3,84,54,69,1025.7,1022.9,1024.3,2.9,11.4
4/06/2015,Albury,-1.2,9.9,4.35,0.2,NNE,17,SE,ESE,4,11,7.5,99,76,87.5,1023.5,1018.6,1021.05,2.6,9
5/06/2015,Albury,2.6,13.3,7.95,6.4,SSE,17,NNE,SSE,9,9,9,86,59,72.5,1022.1,1022.6,1022.35,7.1,12
6/06/2015,Albury,0.8,13.2,7,0.2,NNW,17,ESE,N,6,4,5,100,65,82.5,1031.4,1029.4,1030.4,3.3,13
7/06/2015,Albury,2.3,10.9,6.6,0,E,15,WSW,ESE,7,7,7,100,81,90.5,1030.4,1026.2,1028.3,5,10.6
8/06/2015,Albury,1,16.7,8.85,0.2,N,44,WNW,N,0,17,8.5,100,54,77,1024.7,1020,1022.35,4.3,16.4
9/06/2015,Albury,4.3,15,9.65,0,W,37,S,WSW,19,19,19,83,50,66.5,1021.1,1023.2,1022.15,12.2,12.6
10/06/2015,Albury,-1,13.4,6.2,0,SE,22,SSW,SE,0,9,4.5,85,51,68,1033.4,1032,1032.7,4.7,13.2
11/06/2015,Albury,0.7,15.2,7.95,0,ESE,41,WNW,E,0,9,4.5,75,52,63.5,1037.8,1034.2,1036,6.5,15.2
12/06/2015,Albury,-0.8,15.2,7.2,0.2,SE,13,ESE,SE,0,6,3,95,58,76.5,1035.6,1031.7,1033.65,5.4,14.6
13/06/2015,Albury,0.3,15.3,7.8,0,N,11,NNE,ESE,0,7,3.5,100,67,83.5,1032.1,1027.7,1029.9,5.1,14.8
14/06/2015,Albury,2.4,15.7,9.05,0,E,15,NNE,E,0,9,4.5,100,72,86,1029.3,1025.9,1027.6,6.1,14.4
15/06/2015,Albury,1.8,14,7.9,0.2,ESE,17,NNW,ESE,0,6,3,100,70,85,1027.4,1023.5,1025.45,5.9,13.9
16/06/2015,Albury,5.9,14.4,10.15,14.6,ESE,19,WNW,N,6,6,6,100,100,100,1019.9,1016.4,1018.15,11.3,14.2
17/06/2015,Albury,11.3,12.6,11.95,11.6,W,20,W,WSW,2,6,4,100,100,100,1010.9,1009.1,1010,12.2,12.6
18/06/2015,Albury,9.9,11.1,10.5,22.4,SSE,15,E,S,0,0,0,100,100,100,1016.2,1015.6,1015.9,10.4,10.7
19/06/2015,Albury,5.8,13.7,9.75,16.4,SSE,22,ESE,ESE,11,7,9,78,54,66,1021.3,1020.2,1020.75,8.5,13.2
20/06/2015,Albury,-0.9,12.2,5.65,0.2,SE,20,E,ESE,4,6,5,80,53,66.5,1026.3,1025.3,1025.8,3.6,11.3
21/06/2015,Albury,-1.5,12.1,5.3,0,ENE,15,W,ESE,2,6,4,86,62,74,1030,1027.5,1028.75,3.1,11.6
22/06/2015,Albury,-1.2,11.3,5.05,0,E,13,WNW,ENE,0,7,3.5,99,74,86.5,1030,1026.4,1028.2,3.7,10.6
23/06/2015,Albury,1.4,16.8,9.1,0,N,28,ENE,SSE,0,15,7.5,98,58,78,1026,1021.9,1023.95,7.3,15.8
24/06/2015,Albury,7,14,10.5,7.2,ESE,15,WNW,NNE,2,11,6.5,100,91,95.5,1022.1,1020.6,1021.35,9.8,13.6
25/06/2015,Albury,8.2,13.4,10.8,1,SSE,17,WSW,E,11,7,9,100,76,88,1026.1,1026.8,1026.45,8.8,12.2
26/06/2015,Albury,1.8,14.3,8.05,0.2,ENE,11,ENE,SE,7,6,6.5,100,69,84.5,1034,1032,1033,4.6,13.9
27/06/2015,Albury,2.3,13.2,7.75,0,W,19,SE,ENE,0,6,3,100,68,84,1035,1032.2,1033.6,6.1,11.3
28/06/2015,Albury,5.6,12.4,9,0.2,N,20,ESE,SSE,0,7,3.5,90,65,77.5,1034.3,1032.8,1033.55,7.3,11
29/06/2015,Albury,0.4,15,7.7,0,E,15,SE,WSW,7,6,6.5,99,66,82.5,1034.3,1030.1,1032.2,3.3,12.8
30/06/2015,Albury,1,8.6,4.8,0,WSW,15,SSE,NNW,9,7,8,99,85,92,1029.7,1028,1028.85,5,8.2
1/07/2015,Albury,2.9,10.6,6.75,0,W,19,SE,SW,6,6,6,99,68,83.5,1029.5,1026.1,1027.8,5.3,10.1
2/07/2015,Albury,4.6,12.1,8.35,0.8,WSW,50,WSW,NNW,7,28,17.5,87,52,69.5,1022.4,1022.1,1022.25,6.9,11.3
3/07/2015,Albury,-2.1,11,4.45,0.8,NW,20,ENE,W,0,13,6.5,87,46,66.5,1029,1026.7,1027.85,2.5,10.8
4/07/2015,Albury,1.1,11.6,6.35,0,W,24,NE,NW,0,13,6.5,94,56,75,1026.3,1023.8,1025.05,2.6,10.3
5/07/2015,Albury,0.7,11.8,6.25,0,SSE,13,SE,WSW,0,6,3,91,59,75,1023.9,1020.8,1022.35,3.6,11.6
6/07/2015,Albury,3.6,10,6.8,0,WSW,17,WNW,ESE,0,9,4.5,84,70,77,1019.2,1017.8,1018.5,8.2,9.7
7/07/2015,Albury,4.8,14.8,9.8,0,SSE,20,E,E,9,4,6.5,83,54,68.5,1022.7,1022,1022.35,7.6,13.7
